,unit_id,isp,TECHNOLOGY,SK down,SK UP,timezone_offset,timezone_offset_dst,STATE,REGION
146,683,CenturyLink,DSL,10,0.768,-6,-5,AL,SOUTH
147,875,AT&T,DSL,18,1.5,-6,-5,AL,SOUTH
148,1111,Charter,CABLE,60,4,-6,-5,AL,SOUTH
149,1130,Time Warner Cable,CABLE,15,1,-6,-5,AL,SOUTH
150,5272,AT&T,DSL,6,0.512,-6,-5,AL,SOUTH
151,5559,CenturyLink,DSL,1.5,0.256,-6,-5,AL,SOUTH
153,6245,Charter,CABLE,60,4,-6,-5,AL,SOUTH
154,6298,Brighthouse,CABLE,60,5,-6,-5,AL,SOUTH
155,6900,Brighthouse,CABLE,20,2,-6,-5,AL,SOUTH
156,7104,Comcast,CABLE,25,5,-6,-5,AL,SOUTH
157,7417,Comcast,CABLE,50,10,-6,-5,AL,SOUTH
158,7440,Charter,CABLE,100,5,-6,-5,AL,SOUTH
159,7465,Charter,CABLE,60,4,-6,-5,AL,SOUTH
160,7541,Mediacom,CABLE,20,2,-6,-5,AL,SOUTH
161,7991,Charter,CABLE,60,4,-6,-5,AL,SOUTH
162,8240,Charter,CABLE,60,4,-6,-5,AL,SOUTH
163,8726,Charter,CABLE,60,4,-6,-5,AL,SOUTH
164,8730,Time Warner Cable,CABLE,20,2,-6,-5,AL,SOUTH
165,9847,Mediacom,CABLE,15,1,-6,-5,AL,SOUTH
166,10062,Windstream,DSL,3,0.768,-6,-5,AL,SOUTH
167,10145,Windstream,DSL,6,0.768,-6,-5,AL,SOUTH
168,10212,Windstream,DSL,3,0.384,-6,-5,AL,SOUTH
169,10522,Time Warner Cable,CABLE,20,2,-6,-5,AL,SOUTH
171,10904,Charter,CABLE,100,5,-6,-5,AL,SOUTH
172,11149,Charter,CABLE,60,4,-6,-5,AL,SOUTH
173,11176,Charter,CABLE,60,4,-6,-5,AL,SOUTH
174,11288,Charter,CABLE,60,4,-6,-5,AL,SOUTH
175,11367,Charter,CABLE,30,4,-6,-5,AL,SOUTH
176,11611,Charter,CABLE,60,4,-6,-5,AL,SOUTH
177,11922,Cablevision,CABLE,101,35,-6,-5,AL,SOUTH
178,12148,Charter,CABLE,30,4,-6,-5,AL,SOUTH
179,13239,CenturyLink,DSL,6,0.512,-6,-5,AL,SOUTH
180,13340,CenturyLink,DSL,3,0.512,-6,-5,AL,SOUTH
181,29730,Windstream,DSL,3,0.768,-6,-5,AL,SOUTH
183,32379,Wildblue/ViaSat,SATELLITE,12,3,-6,-5,AL,SOUTH
184,32385,Wildblue/ViaSat,SATELLITE,12,3,-6,-5,AL,SOUTH
185,32409,Wildblue/ViaSat,SATELLITE,12,3,-6,-5,AL,SOUTH
186,184428,Comcast,CABLE,25,5,-6,-5,AL,SOUTH
187,215712,CenturyLink,DSL,4,0.512,-6,-5,AL,SOUTH
188,215746,CenturyLink,DSL,1.5,0.256,-6,-5,AL,SOUTH
189,234170,Windstream,DSL,3,0.768,-6,-5,AL,SOUTH
190,234190,CenturyLink,DSL,8,0.768,-6,-5,AL,SOUTH
191,234280,AT&T,DSL,1.5,0.256,-6,-5,AL,SOUTH
192,435510,Mediacom,CABLE,100,10,-6,-5,AL,SOUTH
193,600898,Charter,CABLE,60,4,-6,-5,AL,SOUTH
194,605662,AT&T,DSL,1.5,0.256,-6,-5,AL,SOUTH
195,615028,Comcast,CABLE,25,5,-6,-5,AL,SOUTH
196,615468,AT&T,DSL,24,3,-6,-5,AL,SOUTH
197,615472,Hughes,SATELLITE,5,1,-6,-5,AL,SOUTH
198,621696,Hughes,SATELLITE,5,1,-6,-5,AL,SOUTH
199,621698,Hughes,SATELLITE,5,1,-6,-5,AL,SOUTH
200,621732,AT&T,DSL,1.5,0.256,-6,-5,AL,SOUTH
