"","technology","costBracket","V1","unit_id","isp","advertised.down","advertised.up","tz.offset","tz.offset.dst","state","region","medianUp","medianDown","medianLatency","medianJitterUp","medianJitterDown","medianLossUp","medianLossDown","medianLoss","monthly.charge","sampleFreq","sampleWeight","weight","sampleWeight.normalized","popWeight.normalized"
"1","CABLE",40,"27",475,"Comcast",3,0.768,-6,-5,"IL","MIDWEST",112887,444822,11065,2457,843,1,1,0,39.95,179,2.20520504772667e-05,7.99898727835204,0.0346295221512865,0.277001107143551
"2","CABLE",40,"117",735,"Time Warner Cable",2,1,-5,-4,"NY","NORTHEAST",132280,266600,30422,3135,947,1,1,0,9.99,179,2.20520504772667e-05,7.99898727835204,0.0346295221512865,0.277001107143551
"3","CABLE",40,"210",1027,"Time Warner Cable",3,1,-5,-4,"OH","MIDWEST",132063,400303,28014,3331,834,1,1,0,39.99,179,2.20520504772667e-05,7.99898727835204,0.0346295221512865,0.277001107143551
"4","CABLE",40,"255",1171,"Cox",1,0.384,-6,-5,"KS","MIDWEST",379950.5,400975,38478,4311,3224.5,1,1,0.103199201883572,32.99,179,2.20520504772667e-05,7.99898727835204,0.0346295221512865,0.277001107143551
"5","CABLE",40,"266",1217,"Time Warner Cable",2,1,-5,-4,"OH","MIDWEST",132064,266171.5,36816,7641,898,1,1,0,14.99,179,2.20520504772667e-05,7.99898727835204,0.0346295221512865,0.277001107143551
"6","CABLE",40,"332",5289,"Comcast",3,0.768,-7,-6,"CO","WEST",112957,445059.5,26981,1496.5,774,1,1,0,39.95,179,2.20520504772667e-05,7.99898727835204,0.0346295221512865,0.277001107143551
"7","CABLE",40,"344",5325,"Comcast",3,0.768,-6,-5,"IL","MIDWEST",112403,444963.5,13477,3868,855,1,1,0,39.95,179,2.20520504772667e-05,7.99898727835204,0.0346295221512865,0.277001107143551
"8","CABLE",40,"349",5337,"Comcast",3,0.768,-8,-7,"CA","WEST",112146,445001,13838.5,3427,854,1,1,0,39.95,179,2.20520504772667e-05,7.99898727835204,0.0346295221512865,0.277001107143551
"9","CABLE",40,"545",5956,"Comcast",3,0.768,-5,-4,"PA","NORTHEAST",112275,444934,14276.5,2385.5,917,1,1,0,39.95,179,2.20520504772667e-05,7.99898727835204,0.0346295221512865,0.277001107143551
"10","CABLE",40,"553",5985,"Comcast",3,0.768,-6,-5,"NJ","NORTHEAST",112454.5,445060,20208.5,3388.5,912,1,1,0,39.95,179,2.20520504772667e-05,7.99898727835204,0.0346295221512865,0.277001107143551
"11","CABLE",40,"570",6037,"Time Warner Cable",2,1,-5,-4,"OH","MIDWEST",138721.5,266698,25606,2610,1057,1,1,0,9.99,179,2.20520504772667e-05,7.99898727835204,0.0346295221512865,0.277001107143551
"12","CABLE",40,"604",6140,"Time Warner Cable",3,1,-8,-7,"CA","WEST",132063.5,400902,16448,3132,810,1,1,0,9.99,179,2.20520504772667e-05,7.99898727835204,0.0346295221512865,0.277001107143551
"13","CABLE",40,"628",6230,"Cox",1,0.384,-6,-5,"OK","SOUTH",52817,133033,14157,2080,917,1,1,0,32.99,179,2.20520504772667e-05,7.99898727835204,0.0346295221512865,0.277001107143551
