,Unnamed: 0,isp,State,Weight,TECHNOLOGY,Download Bandwidth Mbps ,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread,Regression Data
44,44,AT&T,Alabama,5126.08,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
45,45,AT&T,Alabama,11913.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
46,46,AT&T,Alabama,5126.08,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
47,47,AT&T,Alabama,11913.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
48,48,AT&T,Alabama,5126.08,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
49,49,AT&T,Alabama,5956.58,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
50,50,AT&T,Alabama,5126.08,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
51,51,AT&T,Alabama,5956.58,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
62,62,AT&T,Arkansas,11828.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
63,63,AT&T,Arkansas,11828.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
64,64,AT&T,Arkansas,5914.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
65,65,AT&T,Arkansas,5914.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
72,72,AT&T,California,10603.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
73,73,AT&T,California,10750.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
74,74,AT&T,California,11428.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
75,75,AT&T,California,11657.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
76,76,AT&T,California,10603.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
77,77,AT&T,California,10750.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
78,78,AT&T,California,11428.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
79,79,AT&T,California,11657.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
80,80,AT&T,California,5301.58,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
81,81,AT&T,California,5375.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
82,82,AT&T,California,5714.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
83,83,AT&T,California,5828.58,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
84,84,AT&T,California,5301.58,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
85,85,AT&T,California,5375.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
86,86,AT&T,California,5714.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
87,87,AT&T,California,5828.58,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
112,112,AT&T,Connecticut,10522.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
113,113,AT&T,Connecticut,10522.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
114,114,AT&T,Connecticut,5261.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
115,115,AT&T,Connecticut,5261.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
122,122,AT&T,Georgia,10674.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
123,123,AT&T,Georgia,11067.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
124,124,AT&T,Georgia,11546.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
125,125,AT&T,Georgia,10674.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
126,126,AT&T,Georgia,11067.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
127,127,AT&T,Georgia,11546.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
128,128,AT&T,Georgia,5337.08,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
129,129,AT&T,Georgia,5533.58,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
130,130,AT&T,Georgia,5773.08,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
131,131,AT&T,Georgia,5337.08,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
132,132,AT&T,Georgia,5533.58,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
133,133,AT&T,Georgia,5773.08,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
152,152,AT&T,Illinois,11360.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
153,153,AT&T,Illinois,11360.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
154,154,AT&T,Illinois,5680.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
155,155,AT&T,Illinois,5680.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
162,162,AT&T,Louisiana,11243.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
163,163,AT&T,Louisiana,11396.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
164,164,AT&T,Louisiana,11243.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
165,165,AT&T,Louisiana,11396.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
166,166,AT&T,Louisiana,5621.58,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
167,167,AT&T,Louisiana,5698.08,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
168,168,AT&T,Louisiana,5621.58,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
169,169,AT&T,Louisiana,5698.08,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
182,182,AT&T,Michigan,11100.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
183,183,AT&T,Michigan,11100.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
184,184,AT&T,Michigan,5550.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
185,185,AT&T,Michigan,5550.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
192,192,AT&T,Missouri,12138.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
193,193,AT&T,Missouri,12138.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
194,194,AT&T,Missouri,6069.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
195,195,AT&T,Missouri,6069.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
201,201,AT&T,North Carolina,10408.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
202,202,AT&T,North Carolina,11633.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
203,203,AT&T,North Carolina,11850.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
204,204,AT&T,North Carolina,10408.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
205,205,AT&T,North Carolina,11633.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
206,206,AT&T,North Carolina,11850.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
207,207,AT&T,North Carolina,5204.08,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
208,208,AT&T,North Carolina,5816.58,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
209,209,AT&T,North Carolina,5925.08,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
210,210,AT&T,North Carolina,5204.08,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
211,211,AT&T,North Carolina,5816.58,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
212,212,AT&T,North Carolina,5925.08,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
231,231,AT&T,Ohio,5226.08,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
232,232,AT&T,Ohio,5618.08,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
233,233,AT&T,Ohio,11170.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
234,234,AT&T,Ohio,11252.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
235,235,AT&T,Ohio,5226.08,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
236,236,AT&T,Ohio,5618.08,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
237,237,AT&T,Ohio,11170.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
238,238,AT&T,Ohio,11252.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
239,239,AT&T,Ohio,5226.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
240,240,AT&T,Ohio,5585.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
241,241,AT&T,Ohio,5618.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
242,242,AT&T,Ohio,5626.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
243,243,AT&T,Ohio,5226.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
244,244,AT&T,Ohio,5585.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
245,245,AT&T,Ohio,5618.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
246,246,AT&T,Ohio,5626.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
247,247,AT&T,Ohio,11170.16,DSL,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
271,271,AT&T,Texas,5732.08,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
272,272,AT&T,Texas,5732.08,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
273,273,AT&T,Texas,5732.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
274,274,AT&T,Texas,5732.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
280,280,AT&T,Wisconsin,12272.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
281,281,AT&T,Wisconsin,12272.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
282,282,AT&T,Wisconsin,6136.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
