"","unit_id","isp","technology","advertised.down","advertised.up","tz.offset","tz.offset.dst","state","region","medianUp","medianDown","medianLatency","medianJitterUp","medianJitterDown","medianLossUp","medianLossDown","medianLoss"
"1",360,"Comcast","CABLE",25,5,-5,-4,"VA","SOUTH",732224.5,3527453.5,20465,1673,1000,1,1,0
"2",362,"Cablevision","CABLE",15,5,-5,-4,"NY","NORTHEAST",649862.5,2321683,10360,2454,997,1,1,0
"3",365,"Cablevision","CABLE",15,5,-5,-4,"NY","NORTHEAST",661692.5,2321650,10337,1559,873,1,1,0
"4",373,"Time Warner Cable","CABLE",50,5,-6,-5,"TX","SOUTH",265593,2595014,35159.5,4367,902.5,1,1,0.05005005005005
"5",380,"Charter","CABLE",100,5,-6,-5,"MO","MIDWEST",665244.5,12405134,23364,2651,801,1,1,0
"6",390,"Verizon","FIBER",50,50,-5,-4,"KY","SOUTH",4871291.5,7226515,19110,1703,1095,1,1,0
"7",405,"AT&T","DSL",3,0.384,-6,-5,"IL","MIDWEST",51631,315570.5,22795,1423,857,1,1,0
"8",409,"CenturyLink","DSL",1.5,0.256,-6,-5,"MO","MIDWEST",38206.5,183046,70115,1709,1279,1,1,0
"9",414,"Comcast","CABLE",50,10,-8,-7,"WA","WEST",1489427,7350463,29299.5,2009,776,1,1,0
"10",418,"AT&T","DSL",3,0.512,-6,-5,"OK","SOUTH",59272.5,465024.5,30753.5,1962,1254,1,1,0
"11",419,"Cablevision","CABLE",15,5,-5,-4,"NY","NORTHEAST",654214,2321406,15787,3137,946,1,1,0
"12",422,"Comcast","CABLE",25,5,-8,-7,"WA","WEST",741464,3670151,29105,1744,760,1,1,0
"13",426,"Time Warner Cable","CABLE",15,1,-8,-7,"WA","WEST",129542,1854882,32405,3023,1127,1,1,0.384000039321604
"14",429,"Verizon","FIBER",20,5,-8,-7,"CA","WEST",667352,3802260.5,8635,1539,1054,1,1,0
"15",431,"Verizon","FIBER",15,5,-8,-7,"CA","WEST",683060,1904601,7425,1230.5,811,1,1,0
"16",434,"Verizon","FIBER",15,5,-5,-4,"MD","SOUTH",579379,2385655,11015,1861,1811,1,1,0
"17",435,"Verizon","FIBER",50,50,-5,-4,"MD","SOUTH",4818374,7245073.5,12825.5,1828,1885,1,1,0
"18",437,"Time Warner Cable","CABLE",20,2,-8,-7,"CA","WEST",266674,2682147,17796,2817,788,1,1,0
"19",447,"Verizon","FIBER",35,35,-5,-4,"PA","NORTHEAST",4662375.5,5337518.5,14535,1421,1739,1,1,0
"20",449,"Verizon","FIBER",50,50,-8,-7,"CA","WEST",4773710.5,7226471,11524,2973,1110,1,1,0
"21",454,"Time Warner Cable","CABLE",15,1,-5,-4,"KY","SOUTH",134643,2011440,30330.5,2733,912,1,1,0
"22",456,"Windstream","DSL",12,0.768,-5,-4,"KY","SOUTH",82877.5,1454996.5,41162,2506,938,1,1,0.050125313283208
"23",457,"AT&T","DSL",6,1,-6,-5,"TX","SOUTH",649614.5,1529066,29820,4235,1291,1,1,0.302481335090031
"24",458,"Cox","CABLE",50,5,-6,-5,"NJ","NORTHEAST",652287,6691267.5,21569,2517,885,1,1,0
"25",464,"AT&T","DSL",3,0.384,-5,-4,"OH","MIDWEST",52221,315399,36771,1481,870,1,1,0.0563380281690141
"26",471,"Comcast","CABLE",25,5,-7,-7,"AZ","WEST",739291,3721526.5,10186,1778,779,1,1,0
"27",475,"Comcast","CABLE",3,0.768,-6,-5,"IL","MIDWEST",112887,444822,11065,2457,843,1,1,0
"28",476,"CenturyLink","DSL",0.512,0.256,-6,-5,"AR","SOUTH",28665,58492,77769.5,2159,1309,1,1,0
"29",477,"Verizon","FIBER",35,35,-5,-4,"NJ","NORTHEAST",3275550,5324266,10379,4219,772,1,1,0
"30",482,"AT&T","DSL",12,1.5,-8,-7,"CA","WEST",235640,1899166,25954,1561.5,1266,1,1,0
"31",484,"Charter","CABLE",60,4,-6,-5,"WI","MIDWEST",526246.5,7903871.5,17835.5,1645,813.5,1,1,0
"32",499,"Frontier","FIBER",25,10,-8,-7,"OR","WEST",1151621,3175016,22144.5,1580,1797.5,1,1,0
"33",500,"Cablevision","CABLE",15,5,-5,-4,"NJ","NORTHEAST",633590,2292103.5,11956,1982,929,1,1,0
"34",503,"CenturyLink","DSL",20,0.896,-7,-6,"CO","WEST",101353,1116577.5,51922,1554,884,1,1,0
"35",504,"Cablevision","CABLE",15,5,-5,-4,"NY","NORTHEAST",636370.5,2292009.5,12449,1975,975,1,1,0
"36",506,"Time Warner Cable","CABLE",15,1,-8,-7,"CA","WEST",138979,2009188.5,24151,2590.5,1023,1,1,0
"37",507,"AT&T","DSL",12,1,-6,-5,"IL","MIDWEST",123455,1525550,28333,1553,983,1,1,0
"38",509,"Time Warner Cable","CABLE",15,1,-8,-7,"CA","WEST",144224.5,2011424.5,14549.5,2490,862,1,1,0
"39",515,"CenturyLink","DSL",8,0.768,-5,-4,"FL","SOUTH",92433,738208.5,32081,1614,844,1,1,0.104931794333683
"40",516,"AT&T","DSL",45,6,-8,-7,"CA","WEST",697814.5,5456651,23233,1744,828,1,1,0
"41",517,"Cox","CABLE",50,5,-7,-7,"AZ","WEST",653602.5,6730121,21782,1530,819,1,1,0
"42",519,"Time Warner Cable","CABLE",15,1,-5,-4,"NC","SOUTH",138562,2011013.5,24903,2656.5,1000,1,1,0
"43",521,"Charter","CABLE",60,4,-8,-7,"NV","WEST",531976,8204260.5,17035.5,3402.5,764.5,1,1,0
"44",522,"Verizon","FIBER",25,25,-5,-4,"VA","SOUTH",3024594.5,3802387,11261,3344,1046,1,1,0
"45",525,"Cox","CABLE",50,5,-7,-7,"AZ","WEST",653221,6757242,25682.5,1689.5,859,1,1,0
"46",528,"AT&T","DSL",6,1,-8,-7,"CA","WEST",178549.5,948809,25625,1685,1076.5,1,1,0
"47",529,"Comcast","CABLE",25,5,-6,-5,"IN","MIDWEST",742568.5,3721670,10986,1347,782,1,1,0
"48",538,"Verizon","FIBER",75,75,-5,-4,"NY","NORTHEAST",10755767,9835752,19463,1604,1833,1,1,0
"49",543,"Cox","CABLE",100,10,-7,-7,"AZ","WEST",1309161.5,13733406,22311.5,1762,812,1,1,0
"50",545,"Comcast","CABLE",105,10,-5,-4,"NJ","NORTHEAST",1488813.5,13239500,14628,2198,901,1,1,0
"51",548,"Comcast","CABLE",50,10,-5,-4,"CA","WEST",1487290.5,7445559,17326.5,2152,914,1,1,0
"52",549,"Charter","CABLE",60,4,-6,-5,"WI","MIDWEST",531558.5,7998810.5,27047,4116,807,1,1,0
"53",551,"Comcast","CABLE",50,10,-5,-4,"SC","SOUTH",1488490.5,7446840.5,41652,4242,883,1,1,0
"54",559,"Comcast","CABLE",50,10,-7,-6,"UT","WEST",1168688,6724029,37839,1519,787,1,1,0
"55",561,"Verizon","FIBER",50,50,-5,-4,"PA","NORTHEAST",7606234,7246092,15743,1583.5,1850,1,1,0
"56",562,"Cox","CABLE",25,5,-7,-7,"AZ","WEST",654120.5,3965965,20544.5,1804,839.5,1,1,0
"57",563,"AT&T","DSL",3,1,-8,-7,"CA","WEST",176041.5,473326,27550,1681.5,927,1,1,0
"58",567,"Mediacom","CABLE",50,5,-6,-5,"MO","MIDWEST",707080.5,7055522,22240,1650,791,1,1,0
"59",568,"AT&T","DSL",18,1.5,-5,-4,"GA","SOUTH",233235.5,2836190,40618,1646,840,1,1,0
"60",569,"Cox","CABLE",25,5,-6,-5,"OK","SOUTH",700415,3685922,13971.5,1834,982,1,1,0
"61",572,"Time Warner Cable","CABLE",15,1,-6,-5,"TX","SOUTH",130384.5,2001891.5,24303,4883,961,1,1,0
"62",573,"Time Warner Cable","CABLE",10,2,-6,-5,"TX","SOUTH",266834.5,1340333,14920.5,2728.5,863.5,1,1,0
"63",576,"Verizon","FIBER",25,25,-5,-4,"PA","NORTHEAST",3277245,3802487,14792,3399,1044,1,1,0
"64",590,"CenturyLink","DSL",12,0.896,-7,-6,"UT","WEST",100993,1829139.5,49899,1566.5,868,1,1,0
"65",594,"CenturyLink","DSL",25,2,-5,-4,"FL","SOUTH",231493,2987262.5,53161,1628,2535.5,1,1,0
"66",595,"Cablevision","CABLE",15,5,-5,-4,"NY","NORTHEAST",628702.5,2175233,12249,2040,1002,1,1,0
"67",597,"Charter","CABLE",100,5,-6,-5,"MO","MIDWEST",656468.5,12375346,21776,2191,856,1,1,0
"68",600,"Charter","CABLE",15,3,-6,-5,"MN","MIDWEST",403708,1946329,30539,2725,799,1,1,0
"69",602,"CenturyLink","DSL",1.5,0.896,-7,-6,"CO","WEST",107455,156450,51540,1352,1002,1,1,0
"70",608,"Verizon","FIBER",25,25,-5,-4,"RI","NORTHEAST",643432.5,3176960,19597,1767,1838,1,1,0
"71",612,"Charter","CABLE",60,4,-5,-4,"MI","MIDWEST",525705,8044739.5,12791.5,1673,901.5,1,1,0
"72",615,"Comcast","CABLE",25,5,-5,-4,"PA","NORTHEAST",742744.5,3721982,30823,2552,909,1,1,0
"73",616,"Comcast","CABLE",25,5,-5,-4,"VA","SOUTH",742593.5,3710128,17253.5,2565,906,1,1,0.257401638783808
"74",617,"Time Warner Cable","CABLE",15,1,-5,-4,"NY","NORTHEAST",139063.5,1996099,27169,2578,1026,1,1,0
"75",622,"Verizon","FIBER",15,15,-8,-7,"CA","WEST",1753304.5,1866259.5,10016,5456,825,1,1,0
