,Unnamed: 0,isp,State,Weight,TECHNOLOGY,Download Bandwidth Mbps ,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread,Regression Data
0,0,3 Rooms Communications LLC,Texas,1310.0,SATELLITE,3.0,1.0,Unlimited,39.99,0.0,0.0,39.99,0.0,Yes
1,1,3 Rooms Communications LLC,Texas,1310.0,SATELLITE,5.0,1.0,Unlimited,49.99,0.0,0.0,49.99,0.0,Yes
2,2,3 Rooms Communications LLC,Texas,1310.0,SATELLITE,9.0,1.0,Unlimited,59.99,0.0,0.0,59.99,0.0,Yes
3,3,3 Rooms Communications LLC,Texas,1310.0,SATELLITE,18.0,2.0,Unlimited,99.99,0.0,0.0,99.99,0.0,Yes
4,4,4 SIWI LLC,Illinois,612.333333333,SATELLITE,0.25,0.25,Unlimited,39.95,0.0,0.0,39.95,0.0,No
5,5,4 SIWI LLC,Illinois,306.166666667,SATELLITE,0.75,0.25,Unlimited,49.95,0.0,0.0,49.95,0.0,No
6,6,4 SIWI LLC,Illinois,306.166666667,SATELLITE,0.75,0.5,Unlimited,39.95,0.0,0.0,39.95,0.0,No
7,7,4 SIWI LLC,Illinois,306.166666667,SATELLITE,1.5,0.5,Unlimited,49.95,0.0,0.0,49.95,0.0,No
8,8,4 SIWI LLC,Illinois,306.166666667,SATELLITE,1.5,0.5,Unlimited,59.95,0.0,0.0,59.95,0.0,No
9,9,4 SIWI LLC,Illinois,306.166666667,SATELLITE,3.0,0.5,Unlimited,69.95,0.0,0.0,69.95,0.0,Yes
10,10,4 SIWI LLC,Illinois,306.166666667,SATELLITE,3.0,1.5,Unlimited,59.95,0.0,0.0,59.95,0.0,Yes
11,11,4 SIWI LLC,Illinois,612.333333333,SATELLITE,7.0,3.0,Unlimited,69.95,0.0,0.0,69.95,0.0,Yes
12,12,"AlasConnect, Inc.",Alaska,887.0,SATELLITE,1.0,0.125,0,62.5,0.0,0.0,62.5,45.0,No
13,13,"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",Alaska,1774.0,DSL,10.0,1.0,Unlimited,109.0,0.0,0.0,109.0,0.0,Yes
14,14,"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",Alaska,1774.0,DSL,15.0,1.0,Unlimited,119.0,0.0,0.0,119.0,0.0,Yes
15,15,"Amplex Electric, Inc.",Ohio,1506.0,SATELLITE,4.0,1.0,Unlimited,49.95,0.0,0.0,49.95,0.0,Yes
16,16,"Amplex Electric, Inc.",Ohio,1506.0,SATELLITE,6.0,1.0,Unlimited,54.95,0.0,0.0,54.95,0.0,Yes
17,17,"Amplex Electric, Inc.",Ohio,1506.0,SATELLITE,10.0,2.0,Unlimited,79.95,0.0,0.0,79.95,0.0,Yes
18,18,"Armstrong Utilities, Inc.",Ohio,1713.0,CABLE,1.5,0.5,200,26.95,0.0,0.0,26.95,0.0,No
19,19,"Armstrong Utilities, Inc.",Ohio,1713.0,CABLE,15.0,3.0,200,44.95,0.0,0.0,44.95,0.0,Yes
20,20,"Armstrong Utilities, Inc.",Ohio,1713.0,CABLE,30.0,3.0,200,59.95,0.0,0.0,59.95,0.0,Yes
21,21,"Armstrong Utilities, Inc.",Ohio,1713.0,CABLE,50.0,5.0,400,89.95,0.0,0.0,89.95,0.0,No
22,22,"Armstrong Utilities, Inc.",Ohio,1713.0,CABLE,75.0,5.0,400,119.95,0.0,0.0,119.95,0.0,No
23,23,"Armstrong Utilities, Inc.",Ohio,1713.0,CABLE,100.0,5.0,400,149.95,0.0,0.0,149.95,0.0,No
24,24,"Atlantic Broadband (Penn), LLC",Pennsylvania,1894.0,CABLE,1.0,0.5,Unlimited,40.99,0.0,8.0,48.99,0.0,No
25,25,"Atlantic Broadband (Penn), LLC",Pennsylvania,1894.0,CABLE,5.0,1.0,Unlimited,44.99,0.0,8.0,52.99,0.0,Yes
26,26,"Atlantic Broadband (Penn), LLC",Pennsylvania,1894.0,CABLE,8.0,1.0,Unlimited,57.99,0.0,8.0,65.99,0.0,Yes
27,27,"Atlantic Broadband (Penn), LLC",Pennsylvania,1894.0,CABLE,30.0,2.0,Unlimited,61.99,0.0,8.0,69.99,0.0,Yes
28,28,"Atlantic Broadband (Penn), LLC",Pennsylvania,1894.0,CABLE,75.0,3.0,Unlimited,74.99,0.0,8.0,82.99,0.0,No
29,29,Atlantic Telephone Membership Corporation,North Carolina,1385.5,CABLE,12.0,3.0,Unlimited,57.95,1.12,0.0,59.07,0.0,Yes
